912312;220;1;7;294;Jap1;480;2300;10
912312;220;1;7;299;Jap25;480;2300;10
912312;220;1;9;1000;Helado frutas;480;2300;10
912312;220;1;9;1500;Helado especial;480;2300;10
1444;1;1;1;1;Singapur20;480;2300;10
10;30;45;30;60;TipicaChile1;480;2300;10
10;30;45;30;66;TipicaChile2;480;2300;10
502;9;200;800;4;Hamburguesa;480;2300;10
502;9;200;800;60;Pizza;480;2300;10
123;345;34;1;109;BigMac;480;2300;10
345;987;456;2;78;MacPapasPequeñas;197;1200;10
4567;234;876;3;65;McNuggets4;166;3590;10
12;34;234;230;543;PapasKids;87;590;10
123;345;2341;12;704;CrispyChicken;623;4900;10
